page_path,total_views,total_users,avg_engagement_time_sec,total_events,total_sessions,new_users_count,article_title,writer_name,category_main,category_sub,publishing_datetime,likes_count,comments_count,new_user_ratio_str,bounce_rate_str,scroll_90_count
/news/view/1065601405329476,2654,2190,40.13515982,9161,2275,2003,"코트야드 메리어트 세종, 페스티브 시즌 운영",김철호,호텔,시즌,2025-12-07 16:53,148,11,91.50%,0.00%,1182
/news/view/1065585703837230,2196,1960,23.11428571,8167,2001,1940,뉴욕 셰프들 K-푸드 배우러 샘표 연구소 찾다,이경엽,이슈,산업,2025-12-06 17:53,34,13,99.00%,0.00%,1443
/news/view/1065609926193780,1783,1506,31.4814077,6517,1549,1466,[Cook&Life] 과메기의 효능과 맛있게 먹는 법,이정호,라이프,제철,2025-12-01 20:53,63,10,97.30%,0.00%,1188
/news/view/1065576140001851,1604,1372,36.13119534,5677,1369,1316,"코트야드 메리어트 세종, 페스티브 시즌 운영",안정미,호텔,시즌,2025-12-08 6:53,44,23,95.90%,0.00%,730
/news/view/1065607271316121,1524,1410,17.74255319,5805,1443,1390,뉴욕 셰프들 K-푸드 배우러 샘표 연구소 찾다,안정미,이슈,산업,2025-11-11 2:53,22,25,98.60%,0.00%,902
/news/view/1065615674322037,1290,1081,27.03145236,4578,1072,1027,"파르나스 호텔 제주, 겨울 미식 프로모션",이정호,호텔,이벤트,2025-11-11 20:53,137,29,95.00%,0.00%,785
/news/view/1065568891755821,1113,861,55.99535424,3553,954,728,[식생활 건강] 작지만 강한 채소 '쪽파'의 효능,이경엽,건강,식자재,2025-11-12 11:53,140,1,84.60%,0.00%,506
/news/view/1065601280729540,1108,945,24.81693122,3960,980,901,"파르나스 호텔 제주, 겨울 미식 프로모션",김철호,호텔,이벤트,2025-11-19 6:53,86,2,95.30%,0.00%,748
/news/view/1065589486442544,1041,925,24.83243243,3837,952,904,뉴욕 셰프들 K-푸드 배우러 샘표 연구소 찾다,안정미,이슈,산업,2025-12-05 19:53,104,7,97.70%,0.00%,590
/news/view/1065561865743692,1037,921,34.81541802,3721,913,877,[Cook&Life] 과메기의 효능과 맛있게 먹는 법,이정호,라이프,제철,2025-11-17 10:53,27,12,95.20%,0.00%,598
